"","years","jugador","name","pos","bat","lan","exp","pais","estado","ciudad"
"84","1964-65","H. Stheters","Howard Stheters","P","","","1","Desconocido","",""
"85","1964-65","L. Tovar","Leopoldo Tovar","CF","D","D","10","Venezuela","D.F.","Caracas"
"86","1964-65","P. Villaren","Pedro Villaren","3B","D","D","2","Venezuela","Anzoategui","Barcelona"
"87","1964-65","D. Vineyard","David Kent Vineyard","P","D","D","1","USA","Virginia Ocidental","Clay"
"88","1964-65","J. Wynn","James Sherman Wynn","CF","D","D","1","USA","Ohio","Hamilton"
"89","1964-65","L. Yellen","Lawrence Alan Yellen","P","D","D","1","USA","Nueva York","Brooklyn"
"90","1965-66","B. Allen","Robert Gray Allen","P","Z","Z","1","USA","Texas","Tatum"
"91","1965-66","L. Aparicio","Luis Ernesto Aparicio Montiel","SS","D","D","5","Venezuela","Zulia","Maracaibo"
"92","1965-66","J. Bateman","John Alvin Bateman","C","D","D","1","USA","Oklahoma","Fort Sill"
"93","1965-66","F. Borges","Francisco Borges","C","D","D","2","Venezuela","Vargas","La Guaira"
"94","1965-66","J. Bracho","José de La Trinidad Bracho","P","D","D","18","Venezuela","Zulia","Maracaibo"
"95","1965-66","B. Brandon","Darrell G Brandon","P","D","D","1","USA","Texas","Nacogdoches"
"96","1965-66","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","4","Venezuela","Zulia","Maracaibo"
"97","1965-66","H. Brito","Hector Brito","P","D","D","2","Venezuela","Vargas","Naiguata"
"98","1965-66","B. Burda","Edward Robert Burda","1B","Z","Z","1","USA","Misuri","St. Louis"
"99","1965-66","J. Campos","Juan Campos","P","D","D","4","Venezuela","Miranda","Petare"
"100","1965-66","J. Cardenal","José Rosario Domec Cardenal","CF","D","D","1","Cuba","","Matanzas"
"101","1965-66","M. Dominguez","Marcelino Dominguez","P","D","D","1","Puerto Rico","","San Juan"
"102","1965-66","I. Flores","Ignacio Flores","P","D","D","5","Venezuela","D.F.","Caracas"
"103","1965-66","M. García","Manuel García","IF","D","D","3","Cuba","","La Habana"
"104","1965-66","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","3","Venezuela","Zulia","San Lorenzo"
"105","1965-66","M. López","Marcelino Pons López","P","D","Z","3","Cuba","","La Habana"
"106","1965-66","C. Maneff","Chris Maneff","P","","","1","USA","",""
"107","1965-66","C. Maneff","Christopher Maneff","P","","","1","USA","",""
"108","1965-66","J. Martínez","José Martínez Azcuiz","IF","D","D","1","Cuba","","Cardenas"
"109","1965-66","M. Medina","Manuel Medina","IF","D","D","2","Venezuela","Miranda","Altagracia"
"110","1965-66","C. Motton","Curttel Motton","CF","D","D","1","USA","Luisiana","Darnell"
"111","1965-66","A. Ortiz","Armando Ortiz","CF","D","D","1","Venezuela","Anzoategui","Barcelona"
"112","1965-66","B. Perry","Melvin Gray Perry","CF","D","D","2","USA","Carolina del Norte","New Bern"
"113","1965-66","J. Quintana","Juan Quintana","P","D","D","3","Venezuela","Miranda","Mamporal"
"114","1965-66","G. Ravelo","Graciano Ravelo","CF","D","D","9","Venezuela","D.F.","Caracas"
"115","1965-66","C. Ruíz","Hiraldo Ruíz Sablon","IF","A","D","2","Cuba","","Santo Domingo"
"116","1965-66","P. Villaren","Pedro Villaren","3B","D","D","3","Venezuela","Anzoategui","Barcelona"
"117","1965-66","J. Wynn","James Sherman Wynn","CF","D","D","2","USA","Ohio","Hamilton"
"118","1966-67","D. Acosta","Dionisio A. Acosta","C","D","D","13","Venezuela","Zulia","Maracaibo"
"119","1966-67","H. Allen","Harold Andrew Allen","CF","D","D","1","USA","Pensilnavia","Wampum"
"120","1966-67","L. Aparicio","Luis Ernesto Aparicio Montiel","SS","D","D","6","Venezuela","Zulia","Maracaibo"
"121","1966-67","J. Bateman","John Alvin Bateman","C","D","D","2","USA","Oklahoma","Fort Sill"
"122","1966-67","B. Belinsky","Robert Belinsky","P","Z","Z","2","USA","Nueva York","New York"
"123","1966-67","F. Borges","Francisco Borges","C","D","D","3","Venezuela","Vargas","La Guaira"
"124","1966-67","G. Brabender","Eugene Mathew Brabender","P","D","D","1","USA","Wisconsin","Madison"
"125","1966-67","J. Bracho","José de La Trinidad Bracho","P","D","D","19","Venezuela","Zulia","Maracaibo"
"126","1966-67","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","5","Venezuela","Zulia","Maracaibo"
"127","1966-67","H. Brito","Hector Brito","P","D","D","3","Venezuela","Vargas","Naiguata"
"128","1966-67","E. Camejo","Euclides Camejo","CF","D","D","1","Venezuela","Zulia","Bobure"
"129","1966-67","J. Campos","Juan Campos","P","D","D","5","Venezuela","Miranda","Petare"
"130","1966-67","E. Chacon","Elio Chacon Rodríguez","IF","D","D","11","Venezuela","D.F.","Caracas"
"131","1966-67","D. Coombs","Daniel Bernard Coombs","P","D","Z","1","USA","Maine","Lincoln"
"132","1966-67","T. Curry","George Anthony Curry","CF","Z","Z","3","Bahamas","","Nassau"
"133","1966-67","B. Faul","William Alvan Faul","P","D","D","1","USA","Ohio","Cincinnati"
"134","1966-67","M. García","Manuel García","IF","D","D","4","Cuba","","La Habana"
"135","1966-67","M. González","Manuel González","P","D","D","13","Venezuela","D.F.","Caracas"
"136","1966-67","E. Gutierrez","Enrique Gutierrez","CF","D","D","2","Venezuela","Sucre","Cumana"
"137","1966-67","C. Harrison","Charles William Harrison","CF","D","D","1","USA","Texas","Abilene"
"138","1966-67","R. Hermoso","Ángel Remigio Hermoso","2B","D","D","1","Venezuela","Carabobo","Carabobo"
"139","1966-67","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","4","Venezuela","Zulia","San Lorenzo"
"140","1966-67","V. Jiménez","Víctor Jiménez","P","D","D","5","Venezuela","Zulia","Lagunillas"
"141","1966-67","J. Mason","John Mason","CF","","","2","Desconocido","",""
"142","1966-67","E. Moxey","Edward Moxey","C","","","1","USA","",""
"143","1966-67","A. Ortiz","Armando Ortiz","CF","D","D","2","Venezuela","Anzoategui","Barcelona"
"144","1966-67","A. Phillips","Adolfo Emilio Phillips López","CF","D","D","1","Panama","","Bethania"
"145","1966-67","J. Quintana","Juan Quintana","P","D","D","4","Venezuela","Miranda","Mamporal"
"146","1966-67","G. Ravelo","Graciano Ravelo","CF","D","D","10","Venezuela","D.F.","Caracas"
"147","1966-67","C. Ruíz","Hiraldo Ruíz Sablon","IF","A","D","3","Cuba","","Santo Domingo"
"148","1966-67","J. Tsitouris","John Philip Tsitouris","P","D","D","1","USA","Carolina del Norte","Monroe"
"149","1966-67","P. Villaren","Pedro Villaren","3B","D","D","4","Venezuela","Anzoategui","Barcelona"
"150","1966-67","C. Zachary","William Christopher Zachary","P","Z","D","1","USA","Tennessee","Knoxville"
"151","1967-68","L. Aparicio","Luis Ernesto Aparicio Montiel","SS","D","D","7","Venezuela","Zulia","Maracaibo"
"152","1967-68","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","6","Venezuela","Zulia","Maracaibo"
"153","1967-68","H. Brito","Hector Brito","P","D","D","4","Venezuela","Vargas","Naiguata"
"154","1967-68","E. Camejo","Euclides Camejo","CF","D","D","2","Venezuela","Zulia","Bobure"
"155","1967-68","M. de la Hoz","Miguel Ángel (Piloto) de la Hoz","3B","D","D","1","Cuba","","La Habana"
"156","1967-68","F. Fernández","Frank Fernández","C","D","D","1","USA","Nueva York","Staten Island"
"157","1967-68","T. Fisher","Thomas Gene Fisher","P","D","D","1","USA","Ohio","Cleveland"
"158","1967-68","E. Gutierrez","Enrique Gutierrez","CF","D","D","3","Venezuela","Sucre","Cumana"
"159","1967-68","R. Hermoso","Ángel Remigio Hermoso","2B","D","D","2","Venezuela","Carabobo","Carabobo"
"160","1967-68","E. Hernández","Enzo Octavio Hernández","SS","D","D","1","Venezuela","Anzoategui","Valle de Guanape"
"161","1967-68","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","5","Venezuela","Zulia","San Lorenzo"
"162","1967-68","V. Jiménez","Víctor Jiménez","P","D","D","6","Venezuela","Zulia","Lagunillas"
"163","1967-68","O. Johnson","Owen Johnson","C","D","D","3","USA","Carolina del Norte","Greensboro"
"164","1967-68","P. Knechtges","Paul Knechtges","P","Z","Z","1","USA","",""
"165","1967-68","N. Mendible","Néstor Mendible","P","D","D","1","Venezuela","Vargas","La Sabana"
"166","1967-68","A. Monteagudo","Aurelio Faustino Monteagudo Cintra","P","D","D","5","Cuba","","Caibarien"
"167","1967-68","C. Moreno","Carlos Moreno","P","D","D","1","Venezuela","Vargas","La Guaira"
"168","1967-68","A. Ortiz","Armando Ortiz","CF","D","D","3","Venezuela","Anzoategui","Barcelona"
"169","1967-68","J. Quintana","Juan Quintana","P","D","D","5","Venezuela","Miranda","Mamporal"
"170","1967-68","M. Rettenmund","Mervin Weldon Rettenmund","CF","D","D","1","USA","Michigan","Flint"
"171","1967-68","O. Rojas","Olinto Rojas","1B","D","D","6","Venezuela","Carabobo","Tocuyito"
"172","1967-68","J. Romero","Jesús Romero","C","D","D","8","Venezuela","Sucre","Cumana"
"173","1967-68","J. Saiz","José Saiz","CF","D","D","1","Venezuela","Anzoategui","Barcelona"
"174","1967-68","H. Urbano","Hector Urbano","P","D","D","7","Venezuela","Bolivar","Ciudad Bolivar"
"175","1967-68","P. Villaren","Pedro Villaren","3B","D","D","5","Venezuela","Anzoategui","Barcelona"
"176","1967-68","B. Watson","Robert José Watson","1B","D","D","1","USA","California","Los Angeles"
"177","1967-68","E. Watt","Eddie Dean Watt","P","D","D","1","USA","Iowa","Lamoni"
"178","1967-68","J. Weaver","James Brian Weaver","P","Z","Z","1","USA","Pensilnavia","Lancaster"
"179","1967-68","R. Webster","Ramon Alberto Webster","1B","Z","Z","2","Panama","","Colon"
"180","1967-68","J. Yanes","Julián Yanes","C","D","D","1","Venezuela","Bolivar","Ciudad Bolivar"
"181","1968-69","L. Aparicio","Luis Ernesto Aparicio Montiel","SS","D","D","8","Venezuela","Zulia","Maracaibo"
"182","1968-69","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","7","Venezuela","Zulia","Maracaibo"
"183","1968-69","H. Brito","Hector Brito","P","D","D","5","Venezuela","Vargas","Naiguata"
"184","1968-69","E. Camejo","Euclides Camejo","CF","D","D","3","Venezuela","Zulia","Bobure"
"185","1968-69","P. Casanova","Paulino Casanova Ortiz","C","D","D","3","Cuba","","Colon"
"186","1968-69","A. Correa","Antonio Correa","CF","Z","Z","1","Venezuela","D.F.","Caracas"
"187","1968-69","A. Corro","Alexis Corro","2B","D","D","1","Venezuela","Vargas","Naiguata"
"188","1968-69","M. Epstein","Michael Peter Epstein","1B","Z","Z","1","USA","Nueva York","Bronx"
"189","1968-69","R. Fingers","Roland Glen Fingers","P","D","D","1","USA","Ohio","Steubenville"
"190","1968-69","E. Gutierrez","Enrique Gutierrez","CF","D","D","4","Venezuela","Sucre","Cumana"
"191","1968-69","R. Hermoso","Ángel Remigio Hermoso","2B","D","D","3","Venezuela","Carabobo","Carabobo"
"192","1968-69","E. Hernández","Enzo Octavio Hernández","SS","D","D","2","Venezuela","Anzoategui","Valle de Guanape"
"193","1968-69","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","6","Venezuela","Zulia","San Lorenzo"
"194","1968-69","V. Jiménez","Víctor Jiménez","P","D","D","7","Venezuela","Zulia","Lagunillas"
"195","1968-69","M. López","Marcelino Pons López","P","D","Z","4","Cuba","","La Habana"
"196","1968-69","N. Mendible","Néstor Mendible","P","D","D","2","Venezuela","Vargas","La Sabana"
"197","1968-69","A. Monteagudo","Aurelio Faustino Monteagudo Cintra","P","D","D","6","Cuba","","Caibarien"
"198","1968-69","C. Moreno","Carlos Moreno","P","D","D","2","Venezuela","Vargas","La Guaira"
"199","1968-69","R. Nye","Richard Raymond Nye","P","Z","Z","1","USA","California","Oakland"
"200","1968-69","J. Nyman","Gerald Smith Nyman","P","Z","Z","2","USA","Utah","Logan"
"201","1968-69","A. Phillips","Adolfo Emilio Phillips López","CF","D","D","2","Panama","","Bethania"
"202","1968-69","M. Rettenmund","Mervin Weldon Rettenmund","CF","D","D","2","USA","Michigan","Flint"
"203","1968-69","O. Rojas","Olinto Rojas","1B","D","D","7","Venezuela","Carabobo","Tocuyito"
"204","1968-69","J. Romero","Jesús Romero","C","D","D","9","Venezuela","Sucre","Cumana"
"205","1968-69","O. Troconis","Oswaldo Troconis","IF","D","D","1","Venezuela","D.F.","Caracas"
"206","1968-69","H. Urbano","Hector Urbano","P","D","D","8","Venezuela","Bolivar","Ciudad Bolivar"
"207","1968-69","P. Villaren","Pedro Villaren","3B","D","D","6","Venezuela","Anzoategui","Barcelona"
"208","1968-69","J. Yanes","Julián Yanes","C","D","D","2","Venezuela","Bolivar","Ciudad Bolivar"
"209","1969-70","B. Alyea","Garrabrant Ryerson Alyea","CF","D","D","2","USA","Nueva Jersey","Passaic"
"210","1969-70","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","8","Venezuela","Zulia","Maracaibo"
"211","1969-70","H. Brito","Hector Brito","P","D","D","6","Venezuela","Vargas","Naiguata"
"212","1969-70","B. Brooks","Robert Brooks","CF","D","D","1","USA","California","Los Angeles"
"213","1969-70","E. Camejo","Euclides Camejo","CF","D","D","4","Venezuela","Zulia","Bobure"
"214","1969-70","P. Casanova","Paulino Casanova Ortiz","C","D","D","4","Cuba","","Colon"
"215","1969-70","A. Correa","Antonio Correa","CF","Z","Z","2","Venezuela","D.F.","Caracas"
"216","1969-70","A. Corro","Alexis Corro","2B","D","D","2","Venezuela","Vargas","Naiguata"
"217","1969-70","L. Duran","Leonel Duran","CF","D","D","1","Venezuela","Bolivar","Ciudad Bolivar"
"218","1969-70","E. Gutierrez","Enrique Gutierrez","CF","D","D","5","Venezuela","Sucre","Cumana"
"219","1969-70","M. Hedlund","Michael David Hedlund","P","D","D","1","USA","Texas","Dallas"
"220","1969-70","R. Hermoso","Ángel Remigio Hermoso","2B","D","D","4","Venezuela","Carabobo","Carabobo"
"221","1969-70","E. Hernández","Enzo Octavio Hernández","SS","D","D","3","Venezuela","Anzoategui","Valle de Guanape"
"222","1969-70","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","7","Venezuela","Zulia","San Lorenzo"
"223","1969-70","L. Jaster","Larry Edward Jaster","P","Z","Z","1","USA","Michigan","Midland"
"224","1969-70","M. López","Marcelino Pons López","P","D","Z","5","Cuba","","La Habana"
"225","1969-70","R. Marcano","Robert Marcano","IF","D","D","1","Venezuela","Miranda","el Clavo"
"226","1969-70","T. McCraw","Tommy Lee McCraw","CF","Z","Z","2","USA","Arkansas","Malvern"
"227","1969-70","H. McRae","Harold Abraham McRae","CF","D","D","1","USA","Florida","Avon Park"
"228","1969-70","A. Monteagudo","Aurelio Faustino Monteagudo Cintra","P","D","D","7","Cuba","","Caibarien"
"229","1969-70","C. Moreno","Carlos Moreno","P","D","D","3","Venezuela","Vargas","La Guaira"
"230","1969-70","R. Nye","Richard Raymond Nye","P","Z","Z","2","USA","California","Oakland"
"231","1969-70","A. Ortiz","Alfredo Ortiz","IF","D","D","3","Venezuela","Aragua","Maracay"
"232","1969-70","V. Patino","Víctor Patino","P","Z","Z","1","Venezuela","D.F.","Caracas"
"233","1969-70","A. Phillips","Adolfo Emilio Phillips López","CF","D","D","3","Panama","","Bethania"
"234","1969-70","F. Rico","Alfredo Rico Cruz","IF","D","D","1","USA","Arizona","Jerome"
"235","1969-70","O. Rojas","Olinto Rojas","1B","D","D","8","Venezuela","Carabobo","Tocuyito"
"236","1969-70","J. Romero","Jesús Romero","C","D","D","10","Venezuela","Sucre","Cumana"
"237","1969-70","R. Romero","Roberto Romero","BE","D","D","4","Venezuela","Bolivar","Ciudad Bolivar"
"238","1969-70","O. Troconis","Oswaldo Troconis","IF","D","D","2","Venezuela","D.F.","Caracas"
"239","1969-70","H. Urbano","Hector Urbano","P","D","D","9","Venezuela","Bolivar","Ciudad Bolivar"
"240","1969-70","R. Webster","Ramon Alberto Webster","1B","Z","Z","3","Panama","","Colon"
"241","1969-70","J. Yanes","Julián Yanes","C","D","D","3","Venezuela","Bolivar","Ciudad Bolivar"
"242","1970-71","S. Barber","Steven Lee Barber","P","D","D","1","USA","Michigan","Grand Rapids"
"243","1970-71","O. Blanco","Oswaldo Carlos Blanco Díaz","1B","D","D","10","Venezuela","D.F.","Caracas"
"244","1970-71","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","9","Venezuela","Zulia","Maracaibo"
"245","1970-71","H. Brito","Hector Brito","P","D","D","7","Venezuela","Vargas","Naiguata"
"246","1970-71","B. Buckner","William Joseph Buckner","1B","Z","Z","1","USA","California","Vallejo"
"247","1970-71","J. Cardenal","José Rosario Domec Cardenal","CF","D","D","2","Cuba","","Matanzas"
"248","1970-71","L. Cardenas","Leonardo Lázaro Cardenas Alfonso","SS","D","D","1","Cuba","","Matanzas"
"249","1970-71","P. Casanova","Paulino Casanova Ortiz","C","D","D","5","Cuba","","Colon"
"250","1970-71","D. Coombs","Daniel Bernard Coombs","P","D","Z","2","USA","Maine","Lincoln"
"251","1970-71","A. Correa","Antonio Correa","CF","Z","Z","3","Venezuela","D.F.","Caracas"
"252","1970-71","C. Cox","Joseph Casey Cox","P","D","D","1","USA","California","Long Beach"
"253","1970-71","J. Cram","Gerald Allen Cram","P","D","D","1","USA","California","Los Angeles"
"254","1970-71","M. Epstein","Michael Peter Epstein","1B","Z","Z","2","USA","Nueva York","Bronx"
"255","1970-71","L. García","Luis Camaleon García Beltran","3B","D","D","22","Venezuela","Sucre","Carupano"
"256","1970-71","L. Gura","Lawrence Cyril Gura","P","A","Z","1","USA","Illinois","Joliet"
"257","1970-71","E. Gutierrez","Enrique Gutierrez","CF","D","D","6","Venezuela","Sucre","Cumana"
"258","1970-71","R. Hermoso","Ángel Remigio Hermoso","2B","D","D","5","Venezuela","Carabobo","Carabobo"
"259","1970-71","E. Hernández","Enzo Octavio Hernández","SS","D","D","4","Venezuela","Anzoategui","Valle de Guanape"
"260","1970-71","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","8","Venezuela","Zulia","San Lorenzo"
"261","1970-71","P. Kelly","Harold Patrick Kelly","CF","Z","Z","2","USA","Pensilnavia","Philadelphia"
"262","1970-71","M. López","Marcelino Pons López","P","D","Z","6","Cuba","","La Habana"
"263","1970-71","R. Marcano","Robert Marcano","IF","D","D","2","Venezuela","Miranda","el Clavo"
"264","1970-71","A. Monteagudo","Aurelio Faustino Monteagudo Cintra","P","D","D","8","Cuba","","Caibarien"
"265","1970-71","C. Moreno","Carlos Moreno","P","D","D","4","Venezuela","Vargas","La Guaira"
"266","1970-71","A. Ortiz","Alfredo Ortiz","IF","D","D","4","Venezuela","Aragua","Maracay"
"267","1970-71","V. Patino","Víctor Patino","P","Z","Z","2","Venezuela","D.F.","Caracas"
"268","1970-71","O. Pena","Orlando Gregorio Pena Quevara","P","D","D","4","Cuba","","Victoria De Las Tunas"
"269","1970-71","A. Phillips","Adolfo Emilio Phillips López","CF","D","D","4","Panama","","Bethania"
"270","1970-71","J. Romero","Jesús Romero","C","D","D","11","Venezuela","Sucre","Cumana"
"271","1970-71","R. Romero","Roberto Romero","BE","D","D","5","Venezuela","Bolivar","Ciudad Bolivar"
"272","1970-71","C. Salas","Campos Salas","C","D","D","1","Venezuela","D.F.","Caracas"
"273","1970-71","E. Spiezio","Edward Wayne Spiezio","3B","D","D","2","USA","Illinois","Joliet"
